,month,days,canton,companies,share of financial sector,share of IT sector,working_population,taxes,treatment
0,2016-01-31,0.0,ZG,0.0,,,78376.0,2361.0,0.0
1,2016-01-31,0.0,ZH,0.0,,,943505.0,4356.0,0.0
20,2016-01-31,0.0,TI,0.0,,,211291.0,4356.299999999999,0.0
21,2016-01-31,0.0,VD,0.0,,,483842.0,4422.21,0.0
24,2016-01-31,0.0,GE,0.0,,,305371.0,4892.0,0.0
26,2016-02-29,29.0,ZG,0.0,,,78376.0,2361.0,0.0
27,2016-02-29,29.0,ZH,0.0,,,943505.0,4356.0,0.0
46,2016-02-29,29.0,TI,0.0,,,211291.0,4356.299999999999,0.0
47,2016-02-29,29.0,VD,0.0,,,483842.0,4422.21,0.0
50,2016-02-29,29.0,GE,0.0,,,305371.0,4892.0,0.0
52,2016-03-31,60.0,ZG,2.0,0.5,0.5,78376.0,2361.0,0.0
53,2016-03-31,60.0,ZH,0.0,,,943505.0,4356.0,0.0
72,2016-03-31,60.0,TI,0.0,,,211291.0,4356.299999999999,0.0
73,2016-03-31,60.0,VD,1.0,0.0,1.0,483842.0,4422.21,0.0
76,2016-03-31,60.0,GE,0.0,,,305371.0,4892.0,0.0
78,2016-04-30,90.0,ZG,2.0,0.5,0.5,78376.0,2361.0,0.0
79,2016-04-30,90.0,ZH,2.0,0.5,0.5,943505.0,4356.0,0.0
98,2016-04-30,90.0,TI,0.0,,,211291.0,4356.299999999999,0.0
99,2016-04-30,90.0,VD,1.0,0.0,1.0,483842.0,4422.21,0.0
102,2016-04-30,90.0,GE,0.0,,,305371.0,4892.0,0.0
104,2016-05-31,121.0,ZG,3.0,0.3333333333333333,0.3333333333333333,78376.0,2361.0,0.0
105,2016-05-31,121.0,ZH,3.0,0.3333333333333333,0.6666666666666666,943505.0,4356.0,0.0
124,2016-05-31,121.0,TI,0.0,,,211291.0,4356.299999999999,0.0
125,2016-05-31,121.0,VD,1.0,0.0,1.0,483842.0,4422.21,0.0
128,2016-05-31,121.0,GE,0.0,,,305371.0,4892.0,0.0
130,2016-06-30,151.0,ZG,3.0,0.3333333333333333,0.3333333333333333,78376.0,2361.0,0.0
131,2016-06-30,151.0,ZH,3.0,0.3333333333333333,0.6666666666666666,943505.0,4356.0,0.0
150,2016-06-30,151.0,TI,0.0,,,211291.0,4356.299999999999,0.0
151,2016-06-30,151.0,VD,1.0,0.0,1.0,483842.0,4422.21,0.0
154,2016-06-30,151.0,GE,0.0,,,305371.0,4892.0,0.0
156,2016-07-31,182.0,ZG,4.0,0.25,0.5,78376.0,2361.0,0.0
157,2016-07-31,182.0,ZH,4.0,0.25,0.75,943505.0,4356.0,0.0
176,2016-07-31,182.0,TI,0.0,,,211291.0,4356.299999999999,0.0
177,2016-07-31,182.0,VD,1.0,0.0,1.0,483842.0,4422.21,0.0
180,2016-07-31,182.0,GE,0.0,,,305371.0,4892.0,0.0
182,2016-08-31,213.0,ZG,7.0,0.2857142857142857,0.5714285714285714,78376.0,2361.0,0.0
183,2016-08-31,213.0,ZH,4.0,0.25,0.75,943505.0,4356.0,0.0
202,2016-08-31,213.0,TI,0.0,,,211291.0,4356.299999999999,0.0
203,2016-08-31,213.0,VD,1.0,0.0,1.0,483842.0,4422.21,0.0
206,2016-08-31,213.0,GE,0.0,,,305371.0,4892.0,0.0
208,2016-09-30,243.0,ZG,8.0,0.25,0.625,78376.0,2361.0,0.0
209,2016-09-30,243.0,ZH,4.0,0.25,0.75,943505.0,4356.0,0.0
228,2016-09-30,243.0,TI,0.0,,,211291.0,4356.299999999999,0.0
229,2016-09-30,243.0,VD,1.0,0.0,1.0,483842.0,4422.21,0.0
232,2016-09-30,243.0,GE,0.0,,,305371.0,4892.0,0.0
234,2016-10-31,274.0,ZG,8.0,0.25,0.625,78376.0,2361.0,0.0
235,2016-10-31,274.0,ZH,5.0,0.2,0.8,943505.0,4356.0,0.0
254,2016-10-31,274.0,TI,0.0,,,211291.0,4356.299999999999,0.0
255,2016-10-31,274.0,VD,1.0,0.0,1.0,483842.0,4422.21,0.0
258,2016-10-31,274.0,GE,0.0,,,305371.0,4892.0,0.0
260,2016-11-30,304.0,ZG,10.0,0.3,0.5,78376.0,2361.0,0.0
261,2016-11-30,304.0,ZH,5.0,0.2,0.8,943505.0,4356.0,0.0
280,2016-11-30,304.0,TI,0.0,,,211291.0,4356.299999999999,0.0
281,2016-11-30,304.0,VD,1.0,0.0,1.0,483842.0,4422.21,0.0
284,2016-11-30,304.0,GE,0.0,,,305371.0,4892.0,0.0
286,2016-12-31,335.0,ZG,10.0,0.3,0.5,78376.0,2361.0,0.0
287,2016-12-31,335.0,ZH,6.0,0.16666666666666666,0.8333333333333334,943505.0,4356.0,0.0
306,2016-12-31,335.0,TI,0.0,,,211291.0,4356.299999999999,0.0
307,2016-12-31,335.0,VD,1.0,0.0,1.0,483842.0,4422.21,0.0
310,2016-12-31,335.0,GE,0.0,,,305371.0,4892.0,0.0
312,2017-01-31,366.0,ZG,10.0,0.3,0.5,79087.0,2361.0,0.0
313,2017-01-31,366.0,ZH,6.0,0.16666666666666666,0.8333333333333334,952121.0,4356.0,0.0
332,2017-01-31,366.0,TI,0.0,,,210041.0,4365.424999999999,0.0
333,2017-01-31,366.0,VD,1.0,0.0,1.0,488905.0,4267.26,0.0
336,2017-01-31,366.0,GE,0.0,,,309359.0,4892.0,0.0
338,2017-02-28,394.0,ZG,10.0,0.3,0.5,79087.0,2361.0,0.0
339,2017-02-28,394.0,ZH,6.0,0.16666666666666666,0.8333333333333334,952121.0,4356.0,0.0
358,2017-02-28,394.0,TI,0.0,,,210041.0,4365.424999999999,0.0
359,2017-02-28,394.0,VD,1.0,0.0,1.0,488905.0,4267.26,0.0
362,2017-02-28,394.0,GE,0.0,,,309359.0,4892.0,0.0
364,2017-03-31,425.0,ZG,10.0,0.3,0.5,79087.0,2361.0,0.0
365,2017-03-31,425.0,ZH,7.0,0.2857142857142857,0.7142857142857143,952121.0,4356.0,0.0
384,2017-03-31,425.0,TI,0.0,,,210041.0,4365.424999999999,0.0
385,2017-03-31,425.0,VD,1.0,0.0,1.0,488905.0,4267.26,0.0
388,2017-03-31,425.0,GE,0.0,,,309359.0,4892.0,0.0
390,2017-04-30,455.0,ZG,12.0,0.3333333333333333,0.4166666666666667,79087.0,2361.0,0.0
391,2017-04-30,455.0,ZH,7.0,0.2857142857142857,0.7142857142857143,952121.0,4356.0,0.0
410,2017-04-30,455.0,TI,1.0,0.0,0.0,210041.0,4365.424999999999,0.0
411,2017-04-30,455.0,VD,1.0,0.0,1.0,488905.0,4267.26,0.0
414,2017-04-30,455.0,GE,0.0,,,309359.0,4892.0,0.0
416,2017-05-31,486.0,ZG,13.0,0.38461538461538464,0.38461538461538464,79087.0,2361.0,0.0
417,2017-05-31,486.0,ZH,8.0,0.25,0.625,952121.0,4356.0,0.0
436,2017-05-31,486.0,TI,1.0,0.0,0.0,210041.0,4365.424999999999,0.0
437,2017-05-31,486.0,VD,1.0,0.0,1.0,488905.0,4267.26,0.0
440,2017-05-31,486.0,GE,0.0,,,309359.0,4892.0,0.0
442,2017-06-30,516.0,ZG,16.0,0.4375,0.375,79087.0,2361.0,0.0
443,2017-06-30,516.0,ZH,8.0,0.25,0.625,952121.0,4356.0,0.0
462,2017-06-30,516.0,TI,1.0,0.0,0.0,210041.0,4365.424999999999,0.0
463,2017-06-30,516.0,VD,1.0,0.0,1.0,488905.0,4267.26,0.0
466,2017-06-30,516.0,GE,0.0,,,309359.0,4892.0,0.0
468,2017-07-31,547.0,ZG,17.0,0.47058823529411764,0.35294117647058826,79087.0,2361.0,0.0
469,2017-07-31,547.0,ZH,8.0,0.25,0.625,952121.0,4356.0,0.0
488,2017-07-31,547.0,TI,2.0,0.0,0.5,210041.0,4365.424999999999,0.0
489,2017-07-31,547.0,VD,1.0,0.0,1.0,488905.0,4267.26,0.0
492,2017-07-31,547.0,GE,0.0,,,309359.0,4892.0,0.0
494,2017-08-31,578.0,ZG,17.0,0.47058823529411764,0.35294117647058826,79087.0,2361.0,0.0
495,2017-08-31,578.0,ZH,8.0,0.25,0.625,952121.0,4356.0,0.0
514,2017-08-31,578.0,TI,2.0,0.0,0.5,210041.0,4365.424999999999,0.0
515,2017-08-31,578.0,VD,1.0,0.0,1.0,488905.0,4267.26,0.0
518,2017-08-31,578.0,GE,0.0,,,309359.0,4892.0,0.0
520,2017-09-30,608.0,ZG,18.0,0.4444444444444444,0.3333333333333333,79087.0,2361.0,0.0
521,2017-09-30,608.0,ZH,8.0,0.25,0.625,952121.0,4356.0,0.0
540,2017-09-30,608.0,TI,2.0,0.0,0.5,210041.0,4365.424999999999,0.0
541,2017-09-30,608.0,VD,1.0,0.0,1.0,488905.0,4267.26,0.0
544,2017-09-30,608.0,GE,1.0,1.0,0.0,309359.0,4892.0,0.0
546,2017-10-31,639.0,ZG,22.0,0.45454545454545453,0.36363636363636365,79087.0,2361.0,0.0
547,2017-10-31,639.0,ZH,10.0,0.2,0.7,952121.0,4356.0,0.0
566,2017-10-31,639.0,TI,2.0,0.0,0.5,210041.0,4365.424999999999,0.0
567,2017-10-31,639.0,VD,1.0,0.0,1.0,488905.0,4267.26,0.0
570,2017-10-31,639.0,GE,1.0,1.0,0.0,309359.0,4892.0,0.0
572,2017-11-30,669.0,ZG,25.0,0.44,0.36,79087.0,2361.0,0.0
573,2017-11-30,669.0,ZH,11.0,0.2727272727272727,0.6363636363636364,952121.0,4356.0,0.0
592,2017-11-30,669.0,TI,2.0,0.0,0.5,210041.0,4365.424999999999,0.0
593,2017-11-30,669.0,VD,2.0,0.5,0.5,488905.0,4267.26,0.0
596,2017-11-30,669.0,GE,1.0,1.0,0.0,309359.0,4892.0,0.0
598,2017-12-31,700.0,ZG,30.0,0.43333333333333335,0.4,79087.0,2361.0,0.0
599,2017-12-31,700.0,ZH,12.0,0.25,0.5833333333333334,952121.0,4356.0,0.0
618,2017-12-31,700.0,TI,2.0,0.0,0.5,210041.0,4365.424999999999,0.0
619,2017-12-31,700.0,VD,2.0,0.5,0.5,488905.0,4267.26,0.0
622,2017-12-31,700.0,GE,1.0,1.0,0.0,309359.0,4892.0,0.0
624,2018-01-31,731.0,ZG,32.0,0.4375,0.40625,79597.0,2361.5,0.0
625,2018-01-31,731.0,ZH,12.0,0.25,0.5833333333333334,962059.0,4356.0,0.0
644,2018-01-31,731.0,TI,3.0,0.0,0.6666666666666666,209350.0,4340.75,0.0
645,2018-01-31,731.0,VD,2.0,0.5,0.5,492075.0,4267.26,0.0
648,2018-01-31,731.0,GE,1.0,1.0,0.0,312012.0,4892.0,0.0
650,2018-02-28,759.0,ZG,37.0,0.43243243243243246,0.40540540540540543,79597.0,2361.5,0.0
651,2018-02-28,759.0,ZH,13.0,0.3076923076923077,0.5384615384615384,962059.0,4356.0,0.0
670,2018-02-28,759.0,TI,4.0,0.0,0.5,209350.0,4340.75,0.0
671,2018-02-28,759.0,VD,2.0,0.5,0.5,492075.0,4267.26,0.0
674,2018-02-28,759.0,GE,1.0,1.0,0.0,312012.0,4892.0,0.0
676,2018-03-31,790.0,ZG,40.0,0.475,0.375,79597.0,2361.5,0.0
677,2018-03-31,790.0,ZH,15.0,0.26666666666666666,0.6,962059.0,4356.0,0.0
696,2018-03-31,790.0,TI,4.0,0.0,0.5,209350.0,4340.75,0.0
697,2018-03-31,790.0,VD,2.0,0.5,0.5,492075.0,4267.26,0.0
700,2018-03-31,790.0,GE,1.0,1.0,0.0,312012.0,4892.0,0.0
702,2018-04-30,820.0,ZG,43.0,0.46511627906976744,0.3488372093023256,79597.0,2361.5,0.0
703,2018-04-30,820.0,ZH,17.0,0.35294117647058826,0.5294117647058824,962059.0,4356.0,0.0
722,2018-04-30,820.0,TI,6.0,0.0,0.5,209350.0,4340.75,0.0
723,2018-04-30,820.0,VD,2.0,0.5,0.5,492075.0,4267.26,0.0
726,2018-04-30,820.0,GE,3.0,1.0,0.0,312012.0,4892.0,0.0
728,2018-05-31,851.0,ZG,48.0,0.4791666666666667,0.3333333333333333,79597.0,2361.5,0.0
729,2018-05-31,851.0,ZH,18.0,0.3888888888888889,0.5,962059.0,4356.0,0.0
748,2018-05-31,851.0,TI,8.0,0.0,0.5,209350.0,4340.75,0.0
749,2018-05-31,851.0,VD,3.0,0.6666666666666666,0.3333333333333333,492075.0,4267.26,0.0
752,2018-05-31,851.0,GE,3.0,1.0,0.0,312012.0,4892.0,0.0
754,2018-06-30,881.0,ZG,54.0,0.42592592592592593,0.3888888888888889,79597.0,2361.5,0.0
755,2018-06-30,881.0,ZH,18.0,0.3888888888888889,0.5,962059.0,4356.0,0.0
774,2018-06-30,881.0,TI,9.0,0.1111111111111111,0.4444444444444444,209350.0,4340.75,0.0
775,2018-06-30,881.0,VD,3.0,0.6666666666666666,0.3333333333333333,492075.0,4267.26,0.0
778,2018-06-30,881.0,GE,3.0,1.0,0.0,312012.0,4892.0,0.0
780,2018-07-31,912.0,ZG,54.0,0.42592592592592593,0.3888888888888889,79597.0,2361.5,0.0
781,2018-07-31,912.0,ZH,20.0,0.45,0.45,962059.0,4356.0,0.0
800,2018-07-31,912.0,TI,9.0,0.1111111111111111,0.4444444444444444,209350.0,4340.75,0.0
801,2018-07-31,912.0,VD,3.0,0.6666666666666666,0.3333333333333333,492075.0,4267.26,0.0
804,2018-07-31,912.0,GE,4.0,1.0,0.0,312012.0,4892.0,0.0
806,2018-08-31,943.0,ZG,56.0,0.4107142857142857,0.4107142857142857,79597.0,2361.5,0.0
807,2018-08-31,943.0,ZH,21.0,0.47619047619047616,0.42857142857142855,962059.0,4356.0,0.0
826,2018-08-31,943.0,TI,11.0,0.09090909090909091,0.45454545454545453,209350.0,4340.75,0.0
827,2018-08-31,943.0,VD,3.0,0.6666666666666666,0.3333333333333333,492075.0,4267.26,0.0
830,2018-08-31,943.0,GE,4.0,1.0,0.0,312012.0,4892.0,0.0
832,2018-09-30,973.0,ZG,57.0,0.40350877192982454,0.42105263157894735,79597.0,2361.5,0.0
833,2018-09-30,973.0,ZH,21.0,0.47619047619047616,0.42857142857142855,962059.0,4356.0,0.0
852,2018-09-30,973.0,TI,11.0,0.09090909090909091,0.45454545454545453,209350.0,4340.75,0.0
853,2018-09-30,973.0,VD,3.0,0.6666666666666666,0.3333333333333333,492075.0,4267.26,0.0
856,2018-09-30,973.0,GE,5.0,1.0,0.0,312012.0,4892.0,0.0
858,2018-10-31,1004.0,ZG,57.0,0.40350877192982454,0.42105263157894735,79597.0,2361.5,0.0
859,2018-10-31,1004.0,ZH,22.0,0.5,0.4090909090909091,962059.0,4356.0,0.0
878,2018-10-31,1004.0,TI,11.0,0.09090909090909091,0.45454545454545453,209350.0,4340.75,0.0
879,2018-10-31,1004.0,VD,3.0,0.6666666666666666,0.3333333333333333,492075.0,4267.26,0.0
882,2018-10-31,1004.0,GE,7.0,0.7142857142857143,0.14285714285714285,312012.0,4892.0,0.0
884,2018-11-30,1034.0,ZG,58.0,0.41379310344827586,0.41379310344827586,79597.0,2361.5,0.0
885,2018-11-30,1034.0,ZH,22.0,0.5,0.4090909090909091,962059.0,4356.0,0.0
904,2018-11-30,1034.0,TI,11.0,0.09090909090909091,0.45454545454545453,209350.0,4340.75,0.0
905,2018-11-30,1034.0,VD,3.0,0.6666666666666666,0.3333333333333333,492075.0,4267.26,0.0
908,2018-11-30,1034.0,GE,7.0,0.7142857142857143,0.14285714285714285,312012.0,4892.0,0.0
910,2018-12-31,1065.0,ZG,58.0,0.41379310344827586,0.41379310344827586,79597.0,2361.5,0.0
911,2018-12-31,1065.0,ZH,23.0,0.4782608695652174,0.43478260869565216,962059.0,4356.0,0.0
930,2018-12-31,1065.0,TI,11.0,0.09090909090909091,0.45454545454545453,209350.0,4340.75,0.0
931,2018-12-31,1065.0,VD,3.0,0.6666666666666666,0.3333333333333333,492075.0,4267.26,0.0
934,2018-12-31,1065.0,GE,7.0,0.7142857142857143,0.14285714285714285,312012.0,4892.0,0.0
936,2019-01-31,1096.0,ZG,59.0,0.4067796610169492,0.423728813559322,79665.0,2338.5,0.0
937,2019-01-31,1096.0,ZH,23.0,0.4782608695652174,0.43478260869565216,972784.0,4356.0,0.0
956,2019-01-31,1096.0,TI,11.0,0.09090909090909091,0.45454545454545453,207648.0,4340.75,0.0
957,2019-01-31,1096.0,VD,3.0,0.6666666666666666,0.3333333333333333,495399.0,2799.3946000000005,0.0
960,2019-01-31,1096.0,GE,7.0,0.7142857142857143,0.14285714285714285,315296.0,4893.55,0.0
962,2019-02-28,1124.0,ZG,59.0,0.4067796610169492,0.423728813559322,79665.0,2338.5,0.0
963,2019-02-28,1124.0,ZH,24.0,0.4583333333333333,0.4166666666666667,972784.0,4356.0,0.0
982,2019-02-28,1124.0,TI,11.0,0.09090909090909091,0.45454545454545453,207648.0,4340.75,0.0
983,2019-02-28,1124.0,VD,3.0,0.6666666666666666,0.3333333333333333,495399.0,2799.3946000000005,0.0
986,2019-02-28,1124.0,GE,8.0,0.625,0.125,315296.0,4893.55,0.0
988,2019-03-31,1155.0,ZG,62.0,0.41935483870967744,0.41935483870967744,79665.0,2338.5,0.0
989,2019-03-31,1155.0,ZH,25.0,0.48,0.4,972784.0,4356.0,0.0
1008,2019-03-31,1155.0,TI,11.0,0.09090909090909091,0.45454545454545453,207648.0,4340.75,0.0
1009,2019-03-31,1155.0,VD,3.0,0.6666666666666666,0.3333333333333333,495399.0,2799.3946000000005,0.0
1012,2019-03-31,1155.0,GE,8.0,0.625,0.125,315296.0,4893.55,0.0
1014,2019-04-30,1185.0,ZG,63.0,0.42857142857142855,0.4126984126984127,79665.0,2338.5,0.0
1015,2019-04-30,1185.0,ZH,27.0,0.48148148148148145,0.37037037037037035,972784.0,4356.0,0.0
1034,2019-04-30,1185.0,TI,11.0,0.09090909090909091,0.45454545454545453,207648.0,4340.75,0.0
1035,2019-04-30,1185.0,VD,3.0,0.6666666666666666,0.3333333333333333,495399.0,2799.3946000000005,0.0
1038,2019-04-30,1185.0,GE,9.0,0.5555555555555556,0.2222222222222222,315296.0,4893.55,0.0
1040,2019-05-31,1216.0,ZG,65.0,0.4153846153846154,0.4307692307692308,79665.0,2338.5,0.0
1041,2019-05-31,1216.0,ZH,27.0,0.48148148148148145,0.37037037037037035,972784.0,4356.0,0.0
1060,2019-05-31,1216.0,TI,11.0,0.09090909090909091,0.45454545454545453,207648.0,4340.75,0.0
1061,2019-05-31,1216.0,VD,3.0,0.6666666666666666,0.3333333333333333,495399.0,2799.3946000000005,0.0
1064,2019-05-31,1216.0,GE,9.0,0.5555555555555556,0.2222222222222222,315296.0,4893.55,0.0
1066,2019-06-30,1246.0,ZG,66.0,0.42424242424242425,0.42424242424242425,79665.0,2338.5,0.0
1067,2019-06-30,1246.0,ZH,27.0,0.48148148148148145,0.37037037037037035,972784.0,4356.0,0.0
1086,2019-06-30,1246.0,TI,11.0,0.09090909090909091,0.45454545454545453,207648.0,4340.75,0.0
1087,2019-06-30,1246.0,VD,3.0,0.6666666666666666,0.3333333333333333,495399.0,2799.3946000000005,0.0
1090,2019-06-30,1246.0,GE,10.0,0.5,0.2,315296.0,4893.55,0.0
1092,2019-07-31,1277.0,ZG,70.0,0.4142857142857143,0.42857142857142855,79665.0,2338.5,0.0
1093,2019-07-31,1277.0,ZH,27.0,0.48148148148148145,0.37037037037037035,972784.0,4356.0,0.0
1112,2019-07-31,1277.0,TI,12.0,0.08333333333333333,0.5,207648.0,4340.75,0.0
1113,2019-07-31,1277.0,VD,3.0,0.6666666666666666,0.3333333333333333,495399.0,2799.3946000000005,0.0
1116,2019-07-31,1277.0,GE,10.0,0.5,0.2,315296.0,4893.55,0.0
1118,2019-08-31,1308.0,ZG,70.0,0.4142857142857143,0.42857142857142855,79665.0,2338.5,0.0
1119,2019-08-31,1308.0,ZH,28.0,0.5,0.35714285714285715,972784.0,4356.0,0.0
1138,2019-08-31,1308.0,TI,12.0,0.08333333333333333,0.5,207648.0,4340.75,0.0
1139,2019-08-31,1308.0,VD,3.0,0.6666666666666666,0.3333333333333333,495399.0,2799.3946000000005,0.0
1142,2019-08-31,1308.0,GE,10.0,0.5,0.2,315296.0,4893.55,0.0
1144,2019-09-30,1338.0,ZG,70.0,0.4142857142857143,0.42857142857142855,79665.0,2338.5,0.0
1145,2019-09-30,1338.0,ZH,28.0,0.5,0.35714285714285715,972784.0,4356.0,0.0
1164,2019-09-30,1338.0,TI,12.0,0.08333333333333333,0.5,207648.0,4340.75,0.0
1165,2019-09-30,1338.0,VD,4.0,0.75,0.25,495399.0,2799.3946000000005,0.0
1168,2019-09-30,1338.0,GE,10.0,0.5,0.2,315296.0,4893.55,0.0
1170,2019-10-31,1369.0,ZG,70.0,0.4142857142857143,0.42857142857142855,79665.0,2338.5,0.0
1171,2019-10-31,1369.0,ZH,28.0,0.5,0.35714285714285715,972784.0,4356.0,0.0
1190,2019-10-31,1369.0,TI,12.0,0.08333333333333333,0.5,207648.0,4340.75,0.0
1191,2019-10-31,1369.0,VD,4.0,0.75,0.25,495399.0,2799.3946000000005,0.0
1194,2019-10-31,1369.0,GE,11.0,0.45454545454545453,0.18181818181818182,315296.0,4893.55,0.0
1196,2019-11-30,1399.0,ZG,70.0,0.4142857142857143,0.42857142857142855,79665.0,2338.5,0.0
1197,2019-11-30,1399.0,ZH,29.0,0.4827586206896552,0.3793103448275862,972784.0,4356.0,0.0
1216,2019-11-30,1399.0,TI,12.0,0.08333333333333333,0.5,207648.0,4340.75,0.0
1217,2019-11-30,1399.0,VD,4.0,0.75,0.25,495399.0,2799.3946000000005,0.0
1220,2019-11-30,1399.0,GE,11.0,0.45454545454545453,0.18181818181818182,315296.0,4893.55,0.0
1222,2019-12-31,1430.0,ZG,70.0,0.4142857142857143,0.42857142857142855,79665.0,2338.5,0.0
1223,2019-12-31,1430.0,ZH,30.0,0.4666666666666667,0.4,972784.0,4356.0,0.0
1242,2019-12-31,1430.0,TI,12.0,0.08333333333333333,0.5,207648.0,4340.75,0.0
1243,2019-12-31,1430.0,VD,4.0,0.75,0.25,495399.0,2799.3946000000005,0.0
1246,2019-12-31,1430.0,GE,11.0,0.45454545454545453,0.18181818181818182,315296.0,4893.55,0.0
1248,2020-01-31,1461.0,ZG,70.0,0.4142857142857143,0.42857142857142855,80234.0,2848.8,0.0
1249,2020-01-31,1461.0,ZH,32.0,0.46875,0.375,980693.0,4356.0,0.0
1268,2020-01-31,1461.0,TI,12.0,0.08333333333333333,0.5,207438.0,3864.1099999999997,0.0
1269,2020-01-31,1461.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1272,2020-01-31,1461.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1274,2020-02-29,1490.0,ZG,70.0,0.4142857142857143,0.42857142857142855,80234.0,2848.8,0.0
1275,2020-02-29,1490.0,ZH,32.0,0.46875,0.375,980693.0,4356.0,0.0
1294,2020-02-29,1490.0,TI,13.0,0.07692307692307693,0.5384615384615384,207438.0,3864.1099999999997,0.0
1295,2020-02-29,1490.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1298,2020-02-29,1490.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1300,2020-03-31,1521.0,ZG,71.0,0.4225352112676056,0.4225352112676056,80234.0,2848.8,0.0
1301,2020-03-31,1521.0,ZH,32.0,0.46875,0.375,980693.0,4356.0,0.0
1320,2020-03-31,1521.0,TI,13.0,0.07692307692307693,0.5384615384615384,207438.0,3864.1099999999997,0.0
1321,2020-03-31,1521.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1324,2020-03-31,1521.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1326,2020-04-30,1551.0,ZG,72.0,0.4305555555555556,0.4166666666666667,80234.0,2848.8,0.0
1327,2020-04-30,1551.0,ZH,33.0,0.45454545454545453,0.3939393939393939,980693.0,4356.0,0.0
1346,2020-04-30,1551.0,TI,13.0,0.07692307692307693,0.5384615384615384,207438.0,3864.1099999999997,0.0
1347,2020-04-30,1551.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1350,2020-04-30,1551.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1352,2020-05-31,1582.0,ZG,72.0,0.4305555555555556,0.4166666666666667,80234.0,2848.8,0.0
1353,2020-05-31,1582.0,ZH,33.0,0.45454545454545453,0.3939393939393939,980693.0,4356.0,0.0
1372,2020-05-31,1582.0,TI,14.0,0.07142857142857142,0.5714285714285714,207438.0,3864.1099999999997,0.0
1373,2020-05-31,1582.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1376,2020-05-31,1582.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1378,2020-06-30,1612.0,ZG,75.0,0.4266666666666667,0.4266666666666667,80234.0,2848.8,0.0
1379,2020-06-30,1612.0,ZH,33.0,0.45454545454545453,0.3939393939393939,980693.0,4356.0,0.0
1398,2020-06-30,1612.0,TI,14.0,0.07142857142857142,0.5714285714285714,207438.0,3864.1099999999997,0.0
1399,2020-06-30,1612.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1402,2020-06-30,1612.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1404,2020-07-31,1643.0,ZG,76.0,0.42105263157894735,0.42105263157894735,80234.0,2848.8,0.0
1405,2020-07-31,1643.0,ZH,33.0,0.45454545454545453,0.3939393939393939,980693.0,4356.0,0.0
1424,2020-07-31,1643.0,TI,14.0,0.07142857142857142,0.5714285714285714,207438.0,3864.1099999999997,0.0
1425,2020-07-31,1643.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1428,2020-07-31,1643.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1430,2020-08-31,1674.0,ZG,77.0,0.42857142857142855,0.4155844155844156,80234.0,2848.8,0.0
1431,2020-08-31,1674.0,ZH,33.0,0.45454545454545453,0.3939393939393939,980693.0,4356.0,0.0
1450,2020-08-31,1674.0,TI,14.0,0.07142857142857142,0.5714285714285714,207438.0,3864.1099999999997,0.0
1451,2020-08-31,1674.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1454,2020-08-31,1674.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1456,2020-09-30,1704.0,ZG,77.0,0.42857142857142855,0.4155844155844156,80234.0,2848.8,0.0
1457,2020-09-30,1704.0,ZH,33.0,0.45454545454545453,0.3939393939393939,980693.0,4356.0,0.0
1476,2020-09-30,1704.0,TI,14.0,0.07142857142857142,0.5714285714285714,207438.0,3864.1099999999997,0.0
