,month,days,canton,companies,share of financial sector,share of IT sector,working_population,taxes,treatment
1477,2020-09-30,1704.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1480,2020-09-30,1704.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1482,2020-10-31,1735.0,ZG,78.0,0.4230769230769231,0.4230769230769231,80234.0,2848.8,0.0
1483,2020-10-31,1735.0,ZH,33.0,0.45454545454545453,0.3939393939393939,980693.0,4356.0,0.0
1502,2020-10-31,1735.0,TI,14.0,0.07142857142857142,0.5714285714285714,207438.0,3864.1099999999997,0.0
1503,2020-10-31,1735.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1506,2020-10-31,1735.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1508,2020-11-30,1765.0,ZG,80.0,0.425,0.4125,80234.0,2848.8,0.0
1509,2020-11-30,1765.0,ZH,35.0,0.45714285714285713,0.4,980693.0,4356.0,0.0
1528,2020-11-30,1765.0,TI,14.0,0.07142857142857142,0.5714285714285714,207438.0,3864.1099999999997,0.0
1529,2020-11-30,1765.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1532,2020-11-30,1765.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1534,2020-12-31,1796.0,ZG,82.0,0.4146341463414634,0.4146341463414634,80234.0,2848.8,0.0
1535,2020-12-31,1796.0,ZH,36.0,0.4444444444444444,0.3888888888888889,980693.0,4356.0,0.0
1554,2020-12-31,1796.0,TI,15.0,0.06666666666666667,0.6,207438.0,3864.1099999999997,0.0
1555,2020-12-31,1796.0,VD,4.0,0.75,0.25,502049.0,2806.466666666667,0.0
1558,2020-12-31,1796.0,GE,11.0,0.45454545454545453,0.18181818181818182,316942.0,2800.5,0.0
1560,2021-01-31,1827.0,ZG,83.0,0.42168674698795183,0.40963855421686746,80641.0,2826.75,1.0
1561,2021-01-31,1827.0,ZH,36.0,0.4444444444444444,0.3888888888888889,984746.0,4072.0,0.0
1580,2021-01-31,1827.0,TI,15.0,0.06666666666666667,0.6,207470.0,3864.1099999999997,0.0
1581,2021-01-31,1827.0,VD,4.0,0.75,0.25,506501.0,2800.7333333333336,0.0
1584,2021-01-31,1827.0,GE,11.0,0.45454545454545453,0.18181818181818182,317976.0,2867.3154375,0.0
1586,2021-02-28,1855.0,ZG,84.0,0.42857142857142855,0.40476190476190477,80641.0,2826.75,1.0
1587,2021-02-28,1855.0,ZH,36.0,0.4444444444444444,0.3888888888888889,984746.0,4072.0,0.0
1606,2021-02-28,1855.0,TI,15.0,0.06666666666666667,0.6,207470.0,3864.1099999999997,0.0
1607,2021-02-28,1855.0,VD,4.0,0.75,0.25,506501.0,2800.7333333333336,0.0
1610,2021-02-28,1855.0,GE,11.0,0.45454545454545453,0.18181818181818182,317976.0,2867.3154375,0.0
1612,2021-03-31,1886.0,ZG,87.0,0.41379310344827586,0.39080459770114945,80641.0,2826.75,1.0
1613,2021-03-31,1886.0,ZH,37.0,0.43243243243243246,0.40540540540540543,984746.0,4072.0,0.0
1632,2021-03-31,1886.0,TI,15.0,0.06666666666666667,0.6,207470.0,3864.1099999999997,0.0
1633,2021-03-31,1886.0,VD,5.0,0.8,0.2,506501.0,2800.7333333333336,0.0
1636,2021-03-31,1886.0,GE,11.0,0.45454545454545453,0.18181818181818182,317976.0,2867.3154375,0.0
1638,2021-04-30,1916.0,ZG,88.0,0.4090909090909091,0.3977272727272727,80641.0,2826.75,1.0
1639,2021-04-30,1916.0,ZH,38.0,0.42105263157894735,0.39473684210526316,984746.0,4072.0,0.0
1658,2021-04-30,1916.0,TI,15.0,0.06666666666666667,0.6,207470.0,3864.1099999999997,0.0
1659,2021-04-30,1916.0,VD,5.0,0.8,0.2,506501.0,2800.7333333333336,0.0
1662,2021-04-30,1916.0,GE,11.0,0.45454545454545453,0.18181818181818182,317976.0,2867.3154375,0.0
1664,2021-05-31,1947.0,ZG,91.0,0.4175824175824176,0.3956043956043956,80641.0,2826.75,1.0
1665,2021-05-31,1947.0,ZH,40.0,0.425,0.4,984746.0,4072.0,0.0
1684,2021-05-31,1947.0,TI,15.0,0.06666666666666667,0.6,207470.0,3864.1099999999997,0.0
1685,2021-05-31,1947.0,VD,5.0,0.8,0.2,506501.0,2800.7333333333336,0.0
1688,2021-05-31,1947.0,GE,11.0,0.45454545454545453,0.18181818181818182,317976.0,2867.3154375,0.0
1690,2021-06-30,1977.0,ZG,94.0,0.425531914893617,0.39361702127659576,80641.0,2826.75,1.0
1691,2021-06-30,1977.0,ZH,42.0,0.42857142857142855,0.40476190476190477,984746.0,4072.0,0.0
1710,2021-06-30,1977.0,TI,15.0,0.06666666666666667,0.6,207470.0,3864.1099999999997,0.0
1711,2021-06-30,1977.0,VD,6.0,0.8333333333333334,0.16666666666666666,506501.0,2800.7333333333336,0.0
1714,2021-06-30,1977.0,GE,11.0,0.45454545454545453,0.18181818181818182,317976.0,2867.3154375,0.0
1716,2021-07-31,2008.0,ZG,95.0,0.42105263157894735,0.4,80641.0,2826.75,1.0
1717,2021-07-31,2008.0,ZH,42.0,0.42857142857142855,0.40476190476190477,984746.0,4072.0,0.0
1736,2021-07-31,2008.0,TI,15.0,0.06666666666666667,0.6,207470.0,3864.1099999999997,0.0
1737,2021-07-31,2008.0,VD,6.0,0.8333333333333334,0.16666666666666666,506501.0,2800.7333333333336,0.0
1740,2021-07-31,2008.0,GE,12.0,0.4166666666666667,0.25,317976.0,2867.3154375,0.0
1742,2021-08-31,2039.0,ZG,96.0,0.4166666666666667,0.3958333333333333,80641.0,2826.75,1.0
1743,2021-08-31,2039.0,ZH,42.0,0.42857142857142855,0.40476190476190477,984746.0,4072.0,0.0
1762,2021-08-31,2039.0,TI,15.0,0.06666666666666667,0.6,207470.0,3864.1099999999997,0.0
1763,2021-08-31,2039.0,VD,7.0,0.7142857142857143,0.14285714285714285,506501.0,2800.7333333333336,0.0
1766,2021-08-31,2039.0,GE,12.0,0.4166666666666667,0.25,317976.0,2867.3154375,0.0
1768,2021-09-30,2069.0,ZG,99.0,0.42424242424242425,0.3939393939393939,80641.0,2826.75,1.0
1769,2021-09-30,2069.0,ZH,44.0,0.4318181818181818,0.38636363636363635,984746.0,4072.0,0.0
1788,2021-09-30,2069.0,TI,15.0,0.06666666666666667,0.6,207470.0,3864.1099999999997,0.0
1789,2021-09-30,2069.0,VD,7.0,0.7142857142857143,0.14285714285714285,506501.0,2800.7333333333336,0.0
1792,2021-09-30,2069.0,GE,13.0,0.38461538461538464,0.23076923076923078,317976.0,2867.3154375,0.0
1794,2021-10-31,2100.0,ZG,100.0,0.42,0.39,80641.0,2826.75,1.0
1795,2021-10-31,2100.0,ZH,46.0,0.45652173913043476,0.3695652173913043,984746.0,4072.0,0.0
1814,2021-10-31,2100.0,TI,15.0,0.06666666666666667,0.6,207470.0,3864.1099999999997,0.0
1815,2021-10-31,2100.0,VD,7.0,0.7142857142857143,0.14285714285714285,506501.0,2800.7333333333336,0.0
1818,2021-10-31,2100.0,GE,14.0,0.42857142857142855,0.21428571428571427,317976.0,2867.3154375,0.0
1820,2021-11-30,2130.0,ZG,101.0,0.4158415841584158,0.38613861386138615,80641.0,2826.75,1.0
1821,2021-11-30,2130.0,ZH,47.0,0.44680851063829785,0.3829787234042553,984746.0,4072.0,0.0
1840,2021-11-30,2130.0,TI,16.0,0.0625,0.625,207470.0,3864.1099999999997,0.0
1841,2021-11-30,2130.0,VD,7.0,0.7142857142857143,0.14285714285714285,506501.0,2800.7333333333336,0.0
1844,2021-11-30,2130.0,GE,14.0,0.42857142857142855,0.21428571428571427,317976.0,2867.3154375,0.0
1846,2021-12-31,2161.0,ZG,107.0,0.411214953271028,0.3925233644859813,80641.0,2826.75,1.0
1847,2021-12-31,2161.0,ZH,48.0,0.4375,0.375,984746.0,4072.0,0.0
1866,2021-12-31,2161.0,TI,17.0,0.058823529411764705,0.6470588235294118,207470.0,3864.1099999999997,0.0
1867,2021-12-31,2161.0,VD,7.0,0.7142857142857143,0.14285714285714285,506501.0,2800.7333333333336,0.0
1870,2021-12-31,2161.0,GE,15.0,0.4,0.26666666666666666,317976.0,2867.3154375,0.0
1872,2022-01-31,2192.0,ZG,108.0,0.4074074074074074,0.3888888888888889,,,1.0
1873,2022-01-31,2192.0,ZH,50.0,0.42,0.38,,,0.0
1892,2022-01-31,2192.0,TI,17.0,0.058823529411764705,0.6470588235294118,,,0.0
1893,2022-01-31,2192.0,VD,7.0,0.7142857142857143,0.14285714285714285,,,0.0
1896,2022-01-31,2192.0,GE,16.0,0.4375,0.25,,,0.0
1898,2022-02-28,2220.0,ZG,110.0,0.4090909090909091,0.39090909090909093,,,1.0
1899,2022-02-28,2220.0,ZH,52.0,0.4230769230769231,0.38461538461538464,,,0.0
1918,2022-02-28,2220.0,TI,17.0,0.058823529411764705,0.6470588235294118,,,0.0
1919,2022-02-28,2220.0,VD,8.0,0.625,0.25,,,0.0
1922,2022-02-28,2220.0,GE,17.0,0.4117647058823529,0.29411764705882354,,,0.0
1924,2022-03-31,2251.0,ZG,113.0,0.40707964601769914,0.3893805309734513,,,1.0
1925,2022-03-31,2251.0,ZH,53.0,0.4339622641509434,0.37735849056603776,,,0.0
1944,2022-03-31,2251.0,TI,17.0,0.058823529411764705,0.6470588235294118,,,0.0
1945,2022-03-31,2251.0,VD,8.0,0.625,0.25,,,0.0
1948,2022-03-31,2251.0,GE,19.0,0.42105263157894735,0.2631578947368421,,,0.0
1950,2022-04-30,2281.0,ZG,113.0,0.40707964601769914,0.3893805309734513,,,1.0
1951,2022-04-30,2281.0,ZH,56.0,0.42857142857142855,0.375,,,0.0
1970,2022-04-30,2281.0,TI,17.0,0.058823529411764705,0.6470588235294118,,,0.0
1971,2022-04-30,2281.0,VD,8.0,0.625,0.25,,,0.0
1974,2022-04-30,2281.0,GE,19.0,0.42105263157894735,0.2631578947368421,,,0.0
1976,2022-05-31,2312.0,ZG,115.0,0.4,0.391304347826087,,,1.0
1977,2022-05-31,2312.0,ZH,57.0,0.42105263157894735,0.3684210526315789,,,0.0
1996,2022-05-31,2312.0,TI,17.0,0.058823529411764705,0.6470588235294118,,,0.0
1997,2022-05-31,2312.0,VD,9.0,0.5555555555555556,0.2222222222222222,,,0.0
2000,2022-05-31,2312.0,GE,19.0,0.42105263157894735,0.2631578947368421,,,0.0
2002,2022-06-30,2342.0,ZG,119.0,0.40336134453781514,0.3865546218487395,,,1.0
2003,2022-06-30,2342.0,ZH,57.0,0.42105263157894735,0.3684210526315789,,,0.0
2022,2022-06-30,2342.0,TI,17.0,0.058823529411764705,0.6470588235294118,,,0.0
2023,2022-06-30,2342.0,VD,10.0,0.6,0.2,,,0.0
2026,2022-06-30,2342.0,GE,19.0,0.42105263157894735,0.2631578947368421,,,0.0
2028,2022-07-31,2373.0,ZG,120.0,0.4,0.38333333333333336,,,1.0
2029,2022-07-31,2373.0,ZH,57.0,0.42105263157894735,0.3684210526315789,,,0.0
2048,2022-07-31,2373.0,TI,17.0,0.058823529411764705,0.6470588235294118,,,0.0
2049,2022-07-31,2373.0,VD,10.0,0.6,0.2,,,0.0
2052,2022-07-31,2373.0,GE,20.0,0.4,0.25,,,0.0
2054,2022-08-31,2404.0,ZG,120.0,0.4,0.38333333333333336,,,1.0
2055,2022-08-31,2404.0,ZH,58.0,0.41379310344827586,0.3620689655172414,,,0.0
2074,2022-08-31,2404.0,TI,18.0,0.1111111111111111,0.6111111111111112,,,0.0
2075,2022-08-31,2404.0,VD,10.0,0.6,0.2,,,0.0
2078,2022-08-31,2404.0,GE,20.0,0.4,0.25,,,0.0
2080,2022-09-30,2434.0,ZG,120.0,0.4,0.38333333333333336,,,1.0
2081,2022-09-30,2434.0,ZH,60.0,0.4166666666666667,0.35,,,0.0
2100,2022-09-30,2434.0,TI,18.0,0.1111111111111111,0.6111111111111112,,,0.0
2101,2022-09-30,2434.0,VD,10.0,0.6,0.2,,,0.0
2104,2022-09-30,2434.0,GE,20.0,0.4,0.25,,,0.0
2106,2022-10-31,2465.0,ZG,120.0,0.4,0.38333333333333336,,,1.0
2107,2022-10-31,2465.0,ZH,60.0,0.4166666666666667,0.35,,,0.0
2126,2022-10-31,2465.0,TI,18.0,0.1111111111111111,0.6111111111111112,,,0.0
2127,2022-10-31,2465.0,VD,10.0,0.6,0.2,,,0.0
2130,2022-10-31,2465.0,GE,20.0,0.4,0.25,,,0.0
2132,2022-11-30,2495.0,ZG,120.0,0.4,0.38333333333333336,,,1.0
2133,2022-11-30,2495.0,ZH,60.0,0.4166666666666667,0.35,,,0.0
2152,2022-11-30,2495.0,TI,18.0,0.1111111111111111,0.6111111111111112,,,0.0
2153,2022-11-30,2495.0,VD,11.0,0.6363636363636364,0.18181818181818182,,,0.0
2156,2022-11-30,2495.0,GE,20.0,0.4,0.25,,,0.0
2158,2022-12-31,2526.0,ZG,120.0,0.4,0.38333333333333336,,,1.0
2159,2022-12-31,2526.0,ZH,60.0,0.4166666666666667,0.35,,,0.0
2178,2022-12-31,2526.0,TI,18.0,0.1111111111111111,0.6111111111111112,,,0.0
2179,2022-12-31,2526.0,VD,11.0,0.6363636363636364,0.18181818181818182,,,0.0
2182,2022-12-31,2526.0,GE,21.0,0.38095238095238093,0.23809523809523808,,,0.0
2184,2016-01-31,0.0,avg. other canton,0.0,,,151554.2857142857,3277.587580952381,0.0
2185,2016-02-29,29.0,avg. other canton,0.0,,,151554.2857142857,3277.587580952381,0.0
2186,2016-03-31,60.0,avg. other canton,0.0,,,151554.2857142857,3277.587580952381,0.0
2187,2016-04-30,90.0,avg. other canton,0.0,,,151554.2857142857,3277.587580952381,0.0
2188,2016-05-31,121.0,avg. other canton,0.0,,,151554.2857142857,3277.587580952381,0.0
2189,2016-06-30,151.0,avg. other canton,0.0,,,151554.2857142857,3277.587580952381,0.0
2190,2016-07-31,182.0,avg. other canton,0.0,,,151554.2857142857,3277.587580952381,0.0
2191,2016-08-31,213.0,avg. other canton,0.0,,,151554.2857142857,3277.587580952381,0.0
2192,2016-09-30,243.0,avg. other canton,0.0,,,151554.2857142857,3277.587580952381,0.0
2193,2016-10-31,274.0,avg. other canton,0.09523809523809523,0.5,0.0,151554.2857142857,3277.587580952381,0.0
2194,2016-11-30,304.0,avg. other canton,0.09523809523809523,0.5,0.0,151554.2857142857,3277.587580952381,0.0
2195,2016-12-31,335.0,avg. other canton,0.09523809523809523,0.5,0.0,151554.2857142857,3277.587580952381,0.0
2196,2017-01-31,366.0,avg. other canton,0.09523809523809523,0.5,0.0,152083.7142857143,3266.337580952381,0.0
2197,2017-02-28,394.0,avg. other canton,0.09523809523809523,0.5,0.0,152083.7142857143,3266.337580952381,0.0
2198,2017-03-31,425.0,avg. other canton,0.09523809523809523,0.5,0.0,152083.7142857143,3266.337580952381,0.0
2199,2017-04-30,455.0,avg. other canton,0.09523809523809523,0.5,0.0,152083.7142857143,3266.337580952381,0.0
2200,2017-05-31,486.0,avg. other canton,0.14285714285714285,0.6666666666666666,0.0,152083.7142857143,3266.337580952381,0.0
2201,2017-06-30,516.0,avg. other canton,0.14285714285714285,0.6666666666666666,0.0,152083.7142857143,3266.337580952381,0.0
2202,2017-07-31,547.0,avg. other canton,0.14285714285714285,0.6666666666666666,0.0,152083.7142857143,3266.337580952381,0.0
2203,2017-08-31,578.0,avg. other canton,0.19047619047619047,0.75,0.0,152083.7142857143,3266.337580952381,0.0
2204,2017-09-30,608.0,avg. other canton,0.19047619047619047,0.75,0.0,152083.7142857143,3266.337580952381,0.0
2205,2017-10-31,639.0,avg. other canton,0.19047619047619047,0.75,0.0,152083.7142857143,3266.337580952381,0.0
2206,2017-11-30,669.0,avg. other canton,0.19047619047619047,0.75,0.0,152083.7142857143,3266.337580952381,0.0
2207,2017-12-31,700.0,avg. other canton,0.2857142857142857,0.5,0.0,152083.7142857143,3266.337580952381,0.0
2208,2018-01-31,731.0,avg. other canton,0.2857142857142857,0.5,0.0,152508.33333333334,3263.564342857143,0.0
2209,2018-02-28,759.0,avg. other canton,0.2857142857142857,0.5,0.0,152508.33333333334,3263.564342857143,0.0
2210,2018-03-31,790.0,avg. other canton,0.3333333333333333,0.5714285714285714,0.0,152508.33333333334,3263.564342857143,0.0
2211,2018-04-30,820.0,avg. other canton,0.38095238095238093,0.5714285714285714,0.0,152508.33333333334,3263.564342857143,0.0
2212,2018-05-31,851.0,avg. other canton,0.38095238095238093,0.5714285714285714,0.0,152508.33333333334,3263.564342857143,0.0
2213,2018-06-30,881.0,avg. other canton,0.42857142857142855,0.625,0.0,152508.33333333334,3263.564342857143,0.0
2214,2018-07-31,912.0,avg. other canton,0.47619047619047616,0.625,0.0,152508.33333333334,3263.564342857143,0.0
2215,2018-08-31,943.0,avg. other canton,0.47619047619047616,0.625,0.0,152508.33333333334,3263.564342857143,0.0
2216,2018-09-30,973.0,avg. other canton,0.5238095238095238,0.5833333333333333,0.041666666666666664,152508.33333333334,3263.564342857143,0.0
2217,2018-10-31,1004.0,avg. other canton,0.6666666666666666,0.5166666666666666,0.08333333333333333,152508.33333333334,3263.564342857143,0.0
2218,2018-11-30,1034.0,avg. other canton,0.6666666666666666,0.5166666666666666,0.08333333333333333,152508.33333333334,3263.564342857143,0.0
2219,2018-12-31,1065.0,avg. other canton,0.6666666666666666,0.5166666666666666,0.08333333333333333,152508.33333333334,3263.564342857143,0.0
2220,2019-01-31,1096.0,avg. other canton,0.6666666666666666,0.5166666666666666,0.08333333333333333,152963.95238095237,3154.811961904762,0.0
2221,2019-02-28,1124.0,avg. other canton,0.7142857142857143,0.46969696969696967,0.07575757575757575,152963.95238095237,3154.811961904762,0.0
2222,2019-03-31,1155.0,avg. other canton,0.7142857142857143,0.46969696969696967,0.07575757575757575,152963.95238095237,3154.811961904762,0.0
2223,2019-04-30,1185.0,avg. other canton,0.7142857142857143,0.46969696969696967,0.07575757575757575,152963.95238095237,3154.811961904762,0.0
2224,2019-05-31,1216.0,avg. other canton,0.7619047619047619,0.4848484848484848,0.0606060606060606,152963.95238095237,3154.811961904762,0.0
2225,2019-06-30,1246.0,avg. other canton,0.7619047619047619,0.4848484848484848,0.0606060606060606,152963.95238095237,3154.811961904762,0.0
2226,2019-07-31,1277.0,avg. other canton,0.7619047619047619,0.4848484848484848,0.0606060606060606,152963.95238095237,3154.811961904762,0.0
2227,2019-08-31,1308.0,avg. other canton,0.7619047619047619,0.4848484848484848,0.0606060606060606,152963.95238095237,3154.811961904762,0.0
2228,2019-09-30,1338.0,avg. other canton,0.8095238095238095,0.46969696969696967,0.07575757575757575,152963.95238095237,3154.811961904762,0.0
2229,2019-10-31,1369.0,avg. other canton,0.8571428571428571,0.45454545454545453,0.09090909090909091,152963.95238095237,3154.811961904762,0.0
2230,2019-11-30,1399.0,avg. other canton,0.8571428571428571,0.45454545454545453,0.09090909090909091,152963.95238095237,3154.811961904762,0.0
2231,2019-12-31,1430.0,avg. other canton,0.8571428571428571,0.45454545454545453,0.09090909090909091,152963.95238095237,3154.811961904762,0.0
2232,2020-01-31,1461.0,avg. other canton,0.8571428571428571,0.45454545454545453,0.09090909090909091,153665.38095238095,2905.4229904761905,0.0
2233,2020-02-29,1490.0,avg. other canton,0.8571428571428571,0.45454545454545453,0.09090909090909091,153665.38095238095,2905.4229904761905,0.0
2234,2020-03-31,1521.0,avg. other canton,0.8571428571428571,0.45454545454545453,0.09090909090909091,153665.38095238095,2905.4229904761905,0.0
2235,2020-04-30,1551.0,avg. other canton,0.9047619047619048,0.4848484848484848,0.09090909090909091,153665.38095238095,2905.4229904761905,0.0
2236,2020-05-31,1582.0,avg. other canton,0.9047619047619048,0.4848484848484848,0.09090909090909091,153665.38095238095,2905.4229904761905,0.0
2237,2020-06-30,1612.0,avg. other canton,0.9523809523809523,0.4939393939393939,0.08181818181818182,153665.38095238095,2905.4229904761905,0.0
2238,2020-07-31,1643.0,avg. other canton,0.9523809523809523,0.4939393939393939,0.08181818181818182,153665.38095238095,2905.4229904761905,0.0
2239,2020-08-31,1674.0,avg. other canton,0.9523809523809523,0.4939393939393939,0.08181818181818182,153665.38095238095,2905.4229904761905,0.0
2240,2020-09-30,1704.0,avg. other canton,1.0,0.48636363636363633,0.08181818181818182,153665.38095238095,2905.4229904761905,0.0
2241,2020-10-31,1735.0,avg. other canton,1.0,0.48636363636363633,0.08181818181818182,153665.38095238095,2905.4229904761905,0.0
2242,2020-11-30,1765.0,avg. other canton,1.0476190476190477,0.48636363636363633,0.08181818181818182,153665.38095238095,2905.4229904761905,0.0
2243,2020-12-31,1796.0,avg. other canton,1.0476190476190477,0.48636363636363633,0.08181818181818182,153665.38095238095,2905.4229904761905,0.0
2244,2021-01-31,1827.0,avg. other canton,1.0952380952380953,0.456060606060606,0.08181818181818182,154154.2857142857,2888.652476190476,0.0
2245,2021-02-28,1855.0,avg. other canton,1.1904761904761905,0.4041666666666666,0.09583333333333333,154154.2857142857,2888.652476190476,0.0
2246,2021-03-31,1886.0,avg. other canton,1.2857142857142858,0.4375,0.10416666666666667,154154.2857142857,2888.652476190476,0.0
2247,2021-04-30,1916.0,avg. other canton,1.2857142857142858,0.4375,0.10416666666666667,154154.2857142857,2888.652476190476,0.0
2248,2021-05-31,1947.0,avg. other canton,1.3333333333333333,0.4375,0.10416666666666667,154154.2857142857,2888.652476190476,0.0
2249,2021-06-30,1977.0,avg. other canton,1.380952380952381,0.4807692307692308,0.09615384615384616,154154.2857142857,2888.652476190476,0.0
2250,2021-07-31,2008.0,avg. other canton,1.4285714285714286,0.4730769230769231,0.10384615384615385,154154.2857142857,2888.652476190476,0.0
2251,2021-08-31,2039.0,avg. other canton,1.4285714285714286,0.4730769230769231,0.10384615384615385,154154.2857142857,2888.652476190476,0.0
2252,2021-09-30,2069.0,avg. other canton,1.4285714285714286,0.4730769230769231,0.10384615384615385,154154.2857142857,2888.652476190476,0.0
2253,2021-10-31,2100.0,avg. other canton,1.4285714285714286,0.4730769230769231,0.10384615384615385,154154.2857142857,2888.652476190476,0.0
2254,2021-11-30,2130.0,avg. other canton,1.4761904761904763,0.43928571428571433,0.09642857142857143,154154.2857142857,2888.652476190476,0.0
2255,2021-12-31,2161.0,avg. other canton,1.5238095238095237,0.43928571428571433,0.09642857142857143,154154.2857142857,2888.652476190476,0.0
2256,2022-01-31,2192.0,avg. other canton,1.5714285714285714,0.4035714285714286,0.13214285714285715,,,0.0
2257,2022-02-28,2220.0,avg. other canton,1.5714285714285714,0.4035714285714286,0.13214285714285715,,,0.0
2258,2022-03-31,2251.0,avg. other canton,1.619047619047619,0.39999999999999997,0.13214285714285715,,,0.0
2259,2022-04-30,2281.0,avg. other canton,1.619047619047619,0.39999999999999997,0.13214285714285715,,,0.0
2260,2022-05-31,2312.0,avg. other canton,1.7142857142857142,0.36666666666666664,0.12000000000000001,,,0.0
2261,2022-06-30,2342.0,avg. other canton,1.7142857142857142,0.36666666666666664,0.12000000000000001,,,0.0
2262,2022-07-31,2373.0,avg. other canton,1.7619047619047619,0.36666666666666664,0.12000000000000001,,,0.0
2263,2022-08-31,2404.0,avg. other canton,1.7619047619047619,0.36666666666666664,0.12000000000000001,,,0.0
2264,2022-09-30,2434.0,avg. other canton,1.8571428571428572,0.36698412698412697,0.11301587301587301,,,0.0
2265,2022-10-31,2465.0,avg. other canton,1.9047619047619047,0.34404761904761905,0.10595238095238095,,,0.0
2266,2022-11-30,2495.0,avg. other canton,1.9047619047619047,0.34404761904761905,0.10595238095238095,,,0.0
2267,2022-12-31,2526.0,avg. other canton,1.9047619047619047,0.34404761904761905,0.10595238095238095,,,0.0
