,name,founding date,canton,sector
0,Tech Bureau Europe SA,29.12.17,ZG,IT Services and IT Consulting
1,Bitkern Group AG,21.12.21,ZG,IT Services and IT Consulting
2,Nerve Global GmbH,22.03.21,ZG,Entertainment Providers
3,JayBee AG,17.10.17,ZG,Financial Services
4,PTGR AG,02.08.22,ZG,Financial Services
5,Validity Labs AG,26.07.16,ZH,IT Services and IT Consulting
6,21e6 Capital AG,10.06.21,ZH,Financial Services
7,Swiss Blockchain Academy GmbH,30.11.20,ZH,"Technology, Information and Internet"
8,PWN AG,14.09.21,ZG,Software Development
9,Mubiz SA,02.03.22,VD,Software Development
10,MyMultiMiner GmbH,19.10.17,ZH,Computer Networking Products
11,Old School GmbH,03.01.16,ZG,Software Development
12,CoinSmart AG,01.11.22,ZG,Business Consulting and Services
13,Perpetual Block AG,18.05.21,ZG,Information Technology & Services
14,Blockchain Valley Ventures AG,16.03.18,ZG,Financial Services
15,Securosys SA,18.04.16,ZH,Computer Networking Products
16,Minimaei Häni Baudesign,29.06.20,ZG,Software Development
17,Genius Yield Association,21.12.21,ZG,"Technology, Information and Internet"
18,BRD GmbH,04.02.20,ZH,Software Development
19,GainBlock AG,17.09.18,SZ,IT Services and IT Consulting
20,BitBar AG,02.02.23,ZH,Fabricated Metal Products
21,Ibex Labs AG,27.04.22,ZH,IT Services and IT Consulting
22,Cointract AG,11.06.20,LU,Financial Services
23,Aument AG,11.04.20,ZG,Financial Services
24,VertexA AG,06.08.21,ZG,Financial Services
25,Kate Vass Galerie GmbH,05.05.17,ZH,Arts & Crafts
26,SWIC Digital Gateway AG,11.02.20,ZH,Financial Services
27,Olympia Consulting Partners Sàrl,27.09.17,GE,Financial Services
28,Flat Flip GmbH,27.05.22,ZH,Real Estate and Equipment Rental Services
29,LBB Carrelage Sàrl,09.06.22,ZH,Financial Services
30,Crypto Alley Consulting GmbH,07.03.20,ZG,
31,Glassnode AG,29.06.18,ZG,Information Services
32,Mt Pelerin Group SA,10.02.18,NE,Financial Services
33,Wyden AG,25.05.16,ZH,Information Technology & Services
34,YouHodler SA,09.03.19,VD,Financial Services
35,CV VC AG,19.01.18,ZG,Venture Capital and Private Equity Principals
36,Aragon AG Bauelemente,10.10.17,ZG,Software Development
37,Kashet Group AG,05.08.18,ZG,Financial Services
38,Tiberius Technology Ventures AG,29.12.17,ZG,Financial Services
39,WhatRocks Foundation,24.06.19,GE,Philanthropic Fundraising Services
40,Tatoshi AG,13.06.18,ZG,Software Development
41,SingleBroker GmbH,05.11.21,ZG,Financial Services
42,LM Media Group Bonvin,15.02.21,VS,Marketing Services
43,acture capital GmbH,04.09.18,ZH,Financial Services
44,88mph Foundation,23.03.22,GE,Financial Services
45,Spicyfi GmbH,15.11.21,ZG,Blockchain Services
46,Bravis GmbH,25.03.22,ZH,Financial Services
47,Rubicon Studio SA,30.04.18,TI,Business Consulting and Services
48,OXI-ZEN Solutions GmbH,24.01.19,ZG,IT Services and IT Consulting
49,StokenX Sàrl,15.03.21,VD,Financial Services
50,Btex SA,30.12.21,TI,IT Services and IT Consulting
51,Toucan AG,06.12.20,ZG,Financial Services
52,Taurus SA,04.06.18,GE,Financial Services
53,QoinIQ GmbH,17.01.20,ZH,Financial Services
54,Lüthi Crypto Advice GmbH,07.02.21,ZG,IT Services and IT Consulting
55,CRYPTO VALLEY PARTNERS AG,03.06.18,ZG,Venture Capital and Private Equity Principals
56,Crypto Solutions Sàrl,16.05.22,JU,Blockchain Services
57,Crypto International AG,01.08.18,ZG,IT Services and IT Consulting
58,ASTOG-Energy GmbH,13.10.22,AI,Oil and Gas
59,Blockchain ventures GmbH,04.06.17,TI,Blockchain Services
60,Moranda AG in Liquidation,29.06.17,ZG,Venture Capital and Private Equity Principals
61,dloop AG,15.05.18,ZG,Artists and Writers
62,Pilatus IT GmbH in Liquidation,07.03.19,ZG,"Technology, Information and Internet"
63,Ampere Energy Investments AG,15.04.19,ZG,Venture Capital and Private Equity Principals
64,KSquared GmbH,04.05.19,ZH,Business Consulting and Services
65,GB Global Blockchain AG,04.09.18,SZ,Financial Services
66,EIDOO Sagl,06.09.17,ZG,Financial Services
67,Sirin Labs AG in Liquidation,10.07.16,SH,Computers and Electronics Manufacturing
68,Numeus Research AG,09.01.21,ZG,Financial Services
69,21 Analytics AG,13.06.18,ZG,Software Development
70,OVD Kinegram AG,18.05.16,ZG,Public Safety
71,Portofino Technologies AG,30.04.21,ZG,"Technology, Information and Internet"
72,Bitymedia KLG,30.09.22,NE,Financial Services
73,Hiroaki Tanaka Consulting,11.09.21,ZH,"Technology, Information and Internet"
74,Edge and Pace GmbH,17.06.21,FR,Capital Markets
75,High Stakes Switzerland Sàrl,24.02.22,GE,IT Services and IT Consulting
76,Crypto Nike Sagl,05.04.17,GR,Investment Management
77,Swiss Association of Crypto Investors,28.06.18,TI,Financial Services
78,Aximetria GmbH,13.03.18,ZG,Financial Services
79,Fluid Finance SA,18.10.21,GE,Financial Services
80,qiibee ag,21.07.16,ZG,IT Services and IT Consulting
81,Alpine Crypto Computing GmbH,16.09.20,BE,Think Tanks
82,Honesto AG,17.04.19,ZH,Financial Services
83,Advisorn GmbH,03.10.21,ZG,Legal Services
84,STUTZ 1zu1 VersicherungsTreuhand KLG,14.12.17,UR,Non-profit Organizations
85,Value Manifesto GmbH,15.02.19,BS,Fine Art
86,Tyr Capital Partners Sàrl,26.07.18,GE,Investment Management
87,Värdex Suisse AG,17.11.17,ZG,Financial Services
88,Block Green AG,21.12.21,ZG,Financial Services
89,Bitfold AG,14.12.21,ZG,Computer and Network Security
90,IBOOSTER SA,02.05.18,TI,Marketing Services
91,Coinmat AG,03.12.19,ZG,Financial Services
92,JDBât Sàrl,04.06.22,ZH,Blockchain Services
93,BLOC & Partners AG,27.02.18,ZG,IT Services and IT Consulting
94,cybrgate GmbH,29.06.21,ZG,Financial Services
95,Kite Assets Holding AG in Liquidation,22.01.21,ZG,Financial Services
96,"k-tus network SARL, en liquidation",24.04.19,GE,"Technology, Information and Internet"
97,Crypto Conseil Suisse SA,09.04.18,GE,Financial Services
98,UniCrypt Group AG,22.10.19,SZ,Information Technology & Services
99,SMART VALOR AG,18.04.17,ZG,Financial Services
100,SwissGold Crypto AG,19.05.21,ZG,Financial Services
101,IXFI Crypto World SA,12.10.21,FR,Financial Services
102,Publikey Sàrl,16.07.21,GE,Software Development
103,Narwal AG,12.07.17,BE,Public Relations and Communications Services
104,xUpery Ltd,24.10.16,ZH,Information Technology & Services
105,Codex Execution GmbH,11.07.17,ZG,Business Consulting and Services
106,Bernegger Ventures,02.05.18,ZH,Venture Capital and Private Equity Principals
107,Bitcoin Academy Sàrl,16.10.18,GE,Education Administration Programs
108,OneUp Services GmbH,19.12.16,ZH,Information Technology & Services
109,Swiss UniCryp AG,03.05.18,SZ,Financial Services
110,SwissBit AG,11.03.17,VD,Financial Services
111,Benchcrowd AG,16.06.21,ZG,IT Services and IT Consulting
112,BrightNode Sagl,28.05.18,TI,Business Consulting and Services
113,Metacourt AG,11.07.19,ZH,Computer Games
114,AlpinumLaw AG,12.10.21,ZG,Legal Services
115,Global Geopolitical Research GmbH,30.04.21,ZH,Research Services
116,Abilex AG,03.03.21,ZG,Legal Services
117,18Digits AG,29.10.21,ZG,Marketing Services
118,Benjamin Allouch - Conseil & Rédaction,05.12.22,VD,Business Consulting and Services
119,Swiss Blockchain Technology GmbH,13.02.20,TI,IT Services and IT Consulting
120,PHINOM Digital AG,02.09.22,ZH,Financial Services
121,FINDESSA AG,16.04.20,ZG,Capital Markets
122,EveryFin AG,07.04.22,BS,Blockchain Services
123,Highwind Capital Sàrl,03.05.21,VS,Venture Capital and Private Equity Principals
124,Comply Now GmbH,31.07.19,ZG,Legal Services
125,Trilliant AG in Liquidation,11.11.16,ZG,Financial Services
126,CryptoEasy AG,16.03.22,ZG,Financial Services
127,Tavis Digital AG,08.02.19,ZH,Financial Services
128,frigg.eco AG,25.01.22,OW,Software Development
129,HDAC Technology AG,16.10.17,ZG,IT Services and IT Consulting
130,Zondax AG,28.11.17,ZG,Data Security Software Products
131,Freename AG,06.10.21,ZH,Software Development
132,BWS Labs AG,27.06.22,ZG,"Technology, Information and Internet"
133,Apes on the block AG,11.03.21,BL,Business Consulting and Services
134,Block0 SA,05.03.18,VD,Venture Capital and Private Equity Principals
135,RACE-CAP AG,22.06.18,SG,Financial Services
136,Digital Asset Solutions AG,24.06.22,ZG,Financial Services
137,MOONCHAIN CAPITAL SA,24.04.18,GE,Financial Services
138,PAIK CAPITAL AG,28.07.17,ZG,Financial Services
139,ARKADIA DIGITAL ADVISORY SAGL,31.08.22,TI,Financial Services
140,Leonteq AG,04.01.16,ZH,Financial Services
141,CV Labs AG,15.08.16,ZG,Venture Capital and Private Equity Principals
142,Velasco Trading GmbH,01.06.23,ZG,Blockchain Services
143,21Shares AG,08.02.18,ZH,Financial Services
144,Metaco SA,03.04.16,VD,Software Development
145,Concordium AG,19.06.18,ZG,Software Development
146,GATO AUTO Sàrl,16.03.17,ZH,Financial Services
147,FinHub 360 Advisors GmbH,01.12.21,LU,Business Consulting and Services
148,Crypto Group GmbH,31.08.20,ZG,Financial Services
149,Crypto Valley Association (CVA),20.04.18,ZG,Non-profit Organizations
150,Morgaine Blockchain AG,18.11.16,ZG,Business Consulting and Services
151,FICAS AG,03.06.19,ZG,Investment Management
152,Aragon One AG,14.05.18,ZG,Software Development
153,CryptoMondays Zürich,01.05.23,ZH,Blockchain Services
154,dotcom Ventures Holding AG,10.11.16,OW,Venture Capital and Private Equity Principals
155,SignorCrypto Sagl,11.03.21,TI,"Technology, Information and Internet"
156,Drakkensberg AG,04.12.18,ZG,Law Practice
157,ZK LABS GmbH,16.02.18,ZG,Information Technology & Services
158,Digital Assets Technologies AG (DAT),05.04.21,ZH,IT Services and IT Consulting
159,Fulcrum Holding AG,07.08.19,ZG,Financial Services
160,Detof GmbH,21.02.23,ZH,Financial Services
161,iprotus GmbH,08.12.16,ZG,IT Services and IT Consulting
162,Swiss Crypto GmbH,24.03.16,ZG,Financial Services
163,Bitcoin Suisse AG,05.03.17,ZG,Financial Services
164,SwissBorg Community AG,17.11.22,VD,Financial Services
165,Sygnum Bank AG,22.05.18,ZH,Financial Services
166,Stoa Now GmbH,15.03.22,BE,Artists and Writers
167,Indus Finch Group AG,19.09.16,ZG,IT Services and IT Consulting
168,Tibc Sàrl,24.04.20,BE,Financial Services
169,SHAREKEY Swiss AG,06.08.18,ZG,Data Security Software Products
170,RedStone Capital SA,16.05.22,ZG,IT Services and IT Consulting
171,keycount GmbH,10.01.21,ZH,Financial Services
172,BLOCKTORING SÀRL,06.11.21,VD,Fundraising
173,Aisot Technologies AG,03.09.21,ZH,Software Development
174,SWARM Academy AG,09.09.19,NE,"Technology, Information and Internet"
175,Digit8 Group SA,14.07.21,NE,Information Technology & Services
176,ATRYA Holding AG,28.04.17,ZG,Spectator Sports
177,Firebird 1961 Immobilière Sàrl,18.10.17,ZG,Financial Services
178,ALPENX GmbH,02.07.18,ZG,Business Consulting and Services
179,SwissOne Capital AG,17.05.18,ZG,Capital Markets
180,Jelurida Swiss SA,19.07.17,TI,Software Development
181,Zenotta AG,05.07.19,ZG,"Technology, Information and Internet"
182,Swissblock Technologies AG,17.09.18,ZG,IT Services and IT Consulting
183,Istari Vision GmbH,22.12.20,ZG,Information Technology & Services
184,Mimicry AG,16.12.20,TI,IT Services and IT Consulting
185,WiseChain Investments Sàrl,17.05.19,NE,Financial Services
186,Moonline Capital GmbH,23.02.21,ZG,Financial Services
187,Sky Financial SA,15.06.22,VD,Financial Services
188,Riviera Crypto SA,24.08.21,VD,Blockchain Services
189,Heibel Crypto AG,06.08.22,ZG,Financial Services
190,Ridime Vinamont,03.07.23,VD,Marketing Services
191,Condensat Technologies SA,23.06.20,NE,Banking
192,Mellivora Capital GmbH,04.08.22,ZH,Financial Services
193,GastroAdvisor Sagl in liquidazione,08.06.18,TI,IT Services and IT Consulting
194,Tarco International GmbH,21.12.17,ZG,Information Technology & Services
195,Avant Labs AG,22.03.22,ZG,Computer Games
196,Digital Finance Compliance Verein (DFCA) in Liquidation,02.01.18,ZG,Financial Services
197,Cryptonox GmbH,07.03.18,ZH,Financial Services
198,cosquare AG,08.10.18,ZG,"Technology, Information and Internet"
199,Maveric Group AG,05.07.21,GR,Financial Services
200,X8 AG,12.04.17,ZG,Financial Services
201,Network Real Estate Sàrl,07.11.22,GE,Real Estate Agents and Brokers
202,Consensus Group GmbH,15.03.21,SZ,Information Technology & Services
203,Cryptoschule AG,02.04.19,ZH,Professional Training and Coaching
204,element36 AG,08.10.18,ZG,IT Services and IT Consulting
205,Finka Swiss AG,20.12.21,ZG,Financial Services
206,Newcent AG,04.06.18,ZG,Investment Management
207,DECOM Switzerland AG,08.03.17,LU,Investment Management
208,Finance & Crypto Consulting Tajic,21.09.21,ZH,Financial Services
209,GenTwo Digital AG,13.11.18,ZG,Financial Services
210,"ArFa Business, Arifi",27.02.18,ZG,Financial Services
211,Partisia Blockchain Stiftung,10.12.20,ZG,IT Services and IT Consulting
212,Swiss Crypto Advisors AG,27.01.22,GE,Financial Services
213,CCFE - Certified Crypto Finance Expert,24.09.21,ZH,Education Administration Programs
214,World Wide Wise Words GmbH,14.01.20,ZH,International Trade and Development
215,SIONDEV AG,29.03.22,ZG,Blockchain Services
216,Ebell Verticai,15.10.19,GE,Business Consulting and Services
217,Trade6ix GmbH,04.12.18,ZH,Financial Services
218,CCFE - Certified Crypto Finance Expert,24.09.21,GE,Professional Training and Coaching
219,Ledger21 AG,31.05.21,ZH,Financial Services
220,YOUNG VENTURES AG,27.11.17,ZH,Venture Capital and Private Equity Principals
221,NextWeb Butler AG,14.09.22,LU,Blockchain Services
222,Maine Investment AG,20.09.21,ZG,Financial Services
223,Vision-R Sàrl,18.03.22,GE,Blockchain Services
224,BlockNovum GmbH,07.11.18,ZH,Financial Services
225,TokenData Sàrl,23.10.18,GE,Software Development
226,Akquisiteur GmbH,20.12.18,ZH,IT Services and IT Consulting
227,Noteworthy AG,11.05.20,ZG,Manufacturing
228,Bitcoin Capital AG,03.10.20,ZG,Investment Management
229,Peppermint BIT GmbH,22.06.17,ZG,Information Technology & Services
230,Glasschain AG,20.01.22,ZH,IT Services and IT Consulting
231,Sync Neural Genesis AG,05.10.22,LU,Renewables & Environment
232,SNGLR.NFT AG,30.08.21,ZG,Retail Art Supplies
233,NFT for Charity by Pandiani,30.09.22,ZH,Blockchain Services
234,NFT Chain AG,18.02.22,ZG,Information Technology & Services
235,Swiss NFT Association,29.08.22,ZH,Blockchain Services
236,bitcoin-schweiz.ch GmbH,25.07.18,BE,Professional Training and Coaching
237,Bitcoin Association for BSV,19.06.20,ZG,Information Technology & Services
238,Bitcoin Academy Sàrl,16.10.18,ZH,Capital Markets
239,Bitcoin Academy Sàrl,16.10.18,AG,Accounting
240,Bitcoin-Mentoring GmbH,19.01.22,ZH,Education Administration Programs
241,67's Blockchain Entrepreneurs Club Zug,25.05.22,ZG,Blockchain Services
242,Blockchain Applications AG in Liquidation,13.06.18,ZG,IT Services and IT Consulting
243,Ticino Blockchain Technologies Association,05.04.20,TI,Information Technology & Services
244,Swiss Blockchain Institute Sàrl,13.02.19,GE,Professional Training and Coaching
245,Blockchain Trust Solutions AG,03.02.18,ZH,Computer and Network Security
246,Blockchain Propulsion AG,20.05.19,ZG,IT Services and IT Consulting
247,Stefano Leone All Things Blockchain,02.03.22,ZH,IT Services and IT Consulting
248,Blockchain Innovation Group AG,17.06.19,ZG,Financial Services
249,Blockchain Presence AG,22.12.20,ZH,Information Services
250,Blockchain Source GmbH,15.08.16,ZG,IT Services and IT Consulting
251,Hive Blockchain Switzerland AG,09.06.17,ZG,
252,Swiss Blockchain Federation (SBF),28.03.19,ZH,Financial Services
253,Blockchain Association for Finance (BAF),06.11.21,ZH,Financial Services
254,Aura Blockchain Consortium,12.08.21,GE,IT Services and IT Consulting
255,Blockchain Factory SA,10.01.18,NE,Software Development
256,Mercato Blockchain AG,22.05.18,ZG,Financial Services
257,BLOCKCHAIN STONE SA,24.04.18,TI,"Technology, Information and Internet"
258,Swiss Chamber of Commerce for Digital & Blockchain Finance,17.12.21,ZH,Non-profit Organizations
259,Blockchain District SA,29.05.18,TI,Information Technology & Services
260,DecentAge AG,26.03.18,ZH,IT Services and IT Consulting
261,PHOTOCHROMIC AG,25.03.19,ZG,IT Services and IT Consulting
262,Swiss Habitat Group SA,13.12.22,GE,Real Estate
263,Bobe AG,02.11.21,LU,Software Development
264,DMN Digital Sign Sagl in liquidazione,30.01.18,TI,IT Services and IT Consulting
265,4BMC Sagl,29.07.19,TI,IT Services and IT Consulting
266,Secured Finance AG,24.12.20,ZG,Blockchain Services
267,Solarchain AG,29.12.17,ZH,Utilities
268,NOUMENA DIGITAL AG,12.04.17,ZG,IT Services and IT Consulting
269,Deploy Labs AG,07.07.22,ZG,Blockchain Services
270,Fondazione Quadrans,31.08.18,TI,Research Services
271,ChainSecurity AG in Liquidation,10.09.17,ZH,Computer and Network Security
272,Datuman Sàrl,23.07.19,ZG,"Technology, Information and Internet"
273,OpenTheta AG,06.03.22,ZG,Blockchain Services
274,Disruptr GmbH,18.12.19,ZH,Software Development
