Case in Robustness Matrix,Treatment Effect (E),P-Value
Case 0 (A 3.0),-2.502571439,0.92
Case 0 (A 3.1),0.00646295,0.95
Case 0 (A 3.2),-3.855654867,1
Case 0 (A 3.3),-3.389153365,1
Case 0 (A 3.4),-3.389153365,1
Case 0 (A 3.5),-3.389153365,1
Case 0 (A 3.6),-2.453546059,1
Case 0 (A 3.7),-4.252310946,1
Case 0 (A 3.8),-0.903699523,1
Case 0 (A 3.9),-0.903699523,1
Case 0 (A 3.10),-0.903699523,1
Case 0 (A 3.11),-0.903699523,1
Case 0 (A 3.12),-8.963965467,1
Case 0 (A 3.13),-8.963965467,1
Case 0 (A 3.14),-8.963965467,1
Case 0 (A 3.15),-8.963965467,1
Case 0 (A 3.16),-8.963965467,1
Case 0 (A 3.17),-8.963965467,1
Case 0 (A 3.18),-8.963965467,1
Case 0 (A 3.19),-6.028899881,1
Case 0 (A 3.20),-6.028899881,1
Case 1 (A 3.0),-3.439581853,0.85
Case 1 (A 3.1),-1.211688351,1
Case 1 (A 3.2),-10.54951773,0.86
Case 1 (A 3.3),-3.523459738,1
Case 1 (A 3.4),-3.523459738,1
Case 1 (A 3.5),-3.523459738,1
Case 1 (A 3.6),-4.182154777,1
Case 1 (A 3.7),-3.678261706,1
Case 1 (A 3.8),-6.867009246,1
Case 1 (A 3.9),-6.867009246,1
Case 1 (A 3.10),-6.867009246,1
Case 1 (A 3.11),-6.867009246,1
Case 1 (A 3.12),-3.648815565,1
Case 1 (A 3.13),-3.648815565,1
Case 1 (A 3.14),-3.648815565,1
Case 1 (A 3.15),-3.648815565,1
Case 1 (A 3.16),-3.648815565,1
Case 1 (A 3.17),-3.648815565,1
Case 1 (A 3.18),-3.648815565,1
Case 1 (A 3.19),-9.733124536,1
Case 1 (A 3.20),-9.733124536,1
Case 2 (A 3.0),-0.481617325,0.81
Case 2 (A 3.1),10.38920806,0.29
Case 2 (A 3.2),-2.73854693,0.93
Case 2 (A 3.3),-2.725596932,0.78
Case 2 (A 3.4),-2.725596932,0.78
Case 2 (A 3.5),-2.725596932,0.78
Case 2 (A 3.6),1.69463958,0.57
Case 2 (A 3.7),3.371817095,0.5
Case 2 (A 3.8),0.900404589,1
Case 2 (A 3.9),0.900404589,1
Case 2 (A 3.10),0.900404589,1
Case 2 (A 3.11),0.900404589,1
Case 2 (A 3.12),-0.391659301,1
Case 2 (A 3.13),-0.391659301,1
Case 2 (A 3.14),-0.391659301,1
Case 2 (A 3.15),-0.391659301,1
Case 2 (A 3.16),-0.391659301,1
Case 2 (A 3.17),-0.391659301,1
Case 2 (A 3.18),-0.391659301,1
Case 2 (A 3.19),21.55558656,1
Case 2 (A 3.20),21.55558656,1
Case 3 (A 3.0),-3.439581853,0.85
Case 3 (A 3.1),-1.211688351,1
Case 3 (A 3.2),-10.54951773,0.86
Case 3 (A 3.3),-2.135800133,1
Case 3 (A 3.4),-2.135800133,1
Case 3 (A 3.5),-2.135800133,1
Case 3 (A 3.6),-0.540182108,0.57
Case 3 (A 3.7),1.12926143,0.83
Case 3 (A 3.8),0.802060604,0.8
Case 3 (A 3.9),0.802060604,0.8
Case 3 (A 3.10),0.802060604,0.8
Case 3 (A 3.11),0.802060604,0.8
Case 3 (A 3.12),8.064541462,1
Case 3 (A 3.13),8.064541462,1
Case 3 (A 3.14),8.064541462,1
Case 3 (A 3.15),8.064541462,1
Case 3 (A 3.16),8.064541462,1
Case 3 (A 3.17),8.064541462,1
Case 3 (A 3.18),8.064541462,1
Case 3 (A 3.19),21.84985943,1
Case 3 (A 3.20),21.84985943,1
Case 4 (A 3.0),-3.439581853,0.85
Case 4 (A 3.1),-1.211688351,1
Case 4 (A 3.2),-10.54951773,0.86
Case 4 (A 3.3),-0.745798164,0.89
Case 4 (A 3.4),-0.745798164,0.89
Case 4 (A 3.5),-0.745798164,0.89
Case 4 (A 3.6),-1.38116998,0.71
Case 4 (A 3.7),1.157162692,1
Case 4 (A 3.8),0.846442738,1
Case 4 (A 3.9),0.846442738,1
Case 4 (A 3.10),0.846442738,1
Case 4 (A 3.11),0.846442738,1
Case 4 (A 3.12),8.295650975,1
Case 4 (A 3.13),8.295650975,1
Case 4 (A 3.14),8.295650975,1
Case 4 (A 3.15),8.295650975,1
Case 4 (A 3.16),8.295650975,1
Case 4 (A 3.17),8.295650975,1
Case 4 (A 3.18),8.295650975,1
Case 4 (A 3.19),22.16016063,1
Case 4 (A 3.20),22.16016063,1